long_tail_present,14.662269115447998,3.588475900106308,"[15.411293983459473, 9.707536697387695, 17.438846588134766, 15.396194458007812, 12.62939739227295, 16.248708724975586, 15.711740493774414, 13.87240219116211, 13.991981506347656, 11.335860252380371, 16.848400115966797, 15.412128448486328, 14.056992530822754, 15.526540756225586, 15.65274715423584, 13.785736083984375, 14.100264549255371, 13.485494613647461, 17.31350326538086, 15.843143463134766, 17.072589874267578, 15.317718505859375, 13.83378791809082, 11.901449203491211]"
long_tail_absent,15.954034042358398,2.550439302903542,"[13.600852966308594, 16.363645553588867, 16.586395263671875, 14.908544540405273, 18.310731887817383]"
long_pointed_beak_present,22.8482938179603,3.3863735082902258,"[21.86779022216797, 19.062715530395508, 23.090774536132812, 25.679386138916016, 22.792566299438477, 22.335079193115234, 25.50922393798828, 25.781286239624023, 20.15624237060547, 23.362579345703125, 20.693164825439453, 23.625415802001953, 24.087406158447266, 23.053340911865234, 26.417375564575195, 20.58942413330078, 21.813961029052734, 20.729312896728516, 23.000606536865234, 22.211103439331055, 21.679101943969727, 24.15193748474121, 21.15399932861328, 24.421791076660156, 24.275920867919922, 22.51413345336914]"
long_pointed_beak_absent,22.404605388641357,0.847380359475892,"[23.360645294189453, 22.919511795043945, 22.420310974121094, 20.917953491210938]"
yellowish_belly_present,21.164052221510147,3.1721653163727903,"[21.136587142944336, 22.49353790283203, 19.858028411865234, 22.81706428527832, 21.858333587646484, 18.318151473999023, 23.440540313720703, 23.24066925048828, 22.11225128173828, 20.403518676757812, 19.744422912597656, 23.506999969482422, 22.874847412109375, 18.239459991455078, 18.659282684326172, 22.258995056152344, 18.958599090576172, 21.03165054321289]"
yellowish_belly_absent,21.0453407981179,2.2766743553552824,"[22.517902374267578, 21.761913299560547, 22.009410858154297, 23.566177368164062, 19.661367416381836, 20.817859649658203, 20.244966506958008, 17.953996658325195, 19.895849227905273, 20.788618087768555, 22.28068733215332]"
brown_or_grayish_body_present,19.169993536812918,2.580910274667317,"[17.448720932006836, 19.677566528320312, 20.359172821044922, 18.452560424804688, 22.100894927978516, 19.058162689208984, 17.092876434326172]"
brown_or_grayish_body_absent,19.121761163075764,1.8467276805843589,"[18.04576301574707, 16.808849334716797, 20.855501174926758, 17.123897552490234, 20.097190856933594, 17.891281127929688, 18.995431900024414, 19.456554412841797, 19.115665435791016, 19.385414123535156, 20.656986236572266, 21.02859878540039]"
brown_streaks_on_the_chest_present,12.398148016496139,3.5040468896497696,"[15.461400032043457, 12.870388984680176, 12.650886535644531, 8.162904739379883, 14.460529327392578, 13.36422348022461, 12.206911087036133, 11.80499267578125, 10.11161994934082, 12.560114860534668, 12.725656509399414]"
brown_streaks_on_the_chest_absent,12.70564119439376,2.9129819863444184,"[12.668853759765625, 10.99821662902832, 15.14442253112793, 12.08877944946289, 11.363973617553711, 14.346437454223633, 9.706738471984863, 9.775343894958496, 13.840188980102539, 11.389691352844238, 14.56312084197998, 12.796793937683105, 11.262155532836914, 14.986473083496094, 11.402938842773438, 13.644407272338867, 12.549286842346191, 13.531484603881836, 15.347875595092773]"
black_wingtips_present,9.072214583555857,3.444203981695457,"[10.064973831176758, 9.71338939666748, 8.839046478271484, 8.913604736328125, 6.6283860206604, 8.991220474243164, 11.353297233581543, 8.497580528259277, 10.19815444946289, 7.909519195556641, 7.991360664367676, 7.20166540145874, 6.205846309661865, 10.805167198181152, 6.715279579162598, 8.929841995239258, 8.061660766601562, 10.637300491333008, 11.979292869567871, 12.899778366088867, 8.81901741027832, 6.769606590270996, 7.295947074890137, 12.312212944030762]"
black_wingtips_absent,8.06114395459493,3.2349834370305586,"[7.356472969055176, 5.344594478607178, 10.837240219116211, 7.421390533447266, 7.565108299255371, 9.842057228088379]"
white_body_with_gray_wings_present,21.98184150695801,4.693032790853619,"[18.550621032714844, 19.999221801757812, 24.308311462402344, 21.447486877441406, 22.372814178466797, 18.959806442260742, 22.031024932861328, 20.111360549926758, 20.92989730834961, 21.190608978271484, 26.777257919311523, 20.445890426635742, 23.445716857910156, 21.199321746826172, 23.152019500732422, 27.624889373779297, 23.15566635131836, 18.484172821044922, 21.367321014404297, 20.928586959838867, 22.3546142578125, 21.503631591796875, 23.861610412597656, 22.925193786621094, 22.418991088867188]"
white_body_with_gray_wings_absent,21.697964477539063,2.201574428678723,"[20.52307891845703, 21.240772247314453, 24.109691619873047, 22.592300415039062, 20.02397918701172]"
orange_legs_present,10.047676256724767,7.536719275793762,"[7.286462306976318, 10.941381454467773, 9.400678634643555, 10.418449401855469, 9.349943161010742, 6.689962387084961, 6.903538227081299, 9.832749366760254, 12.552967071533203, 10.142867088317871, 12.955708503723145, 9.808862686157227, 4.532427787780762, 12.323420524597168, 14.115406036376953, 6.9388041496276855, 8.046318054199219, 7.500702857971191, 13.875188827514648, 9.912546157836914, 11.989459991455078, 6.952675819396973, 14.165593147277832, 8.791414260864258, 13.480484962463379, 14.793924331665039, 6.653143405914307, 10.979854583740234]"
orange_legs_absent,9.553372383117676,0.0,[9.553372383117676]
white_front_present,8.39546085993449,2.277011122750503,"[9.244134902954102, 8.361329078674316, 12.195720672607422, 5.601927280426025, 8.965375900268555, 8.28351879119873, 7.6939568519592285, 6.905203342437744, 9.779197692871094, 7.978374481201172, 9.962362289428711, 7.063687324523926, 8.609029769897461, 7.076026916503906, 8.212067604064941]"
white_front_absent,8.604592418670654,3.1884029578539472,"[11.489592552185059, 7.878866195678711, 10.451436042785645, 9.893260955810547, 10.988189697265625, 6.159025192260742, 8.341291427612305, 4.856592178344727, 9.600189208984375, 7.753169536590576, 9.811990737915039, 9.12800121307373, 8.565967559814453, 7.09556770324707, 7.055746078491211]"
yellowish_belly_present,21.164052221510147,3.1721653163727903,"[21.136587142944336, 22.49353790283203, 19.858028411865234, 22.81706428527832, 21.858333587646484, 18.318151473999023, 23.440540313720703, 23.24066925048828, 22.11225128173828, 20.403518676757812, 19.744422912597656, 23.506999969482422, 22.874847412109375, 18.239459991455078, 18.659282684326172, 22.258995056152344, 18.958599090576172, 21.03165054321289]"
yellowish_belly_absent,21.0453407981179,2.2766743553552824,"[22.517902374267578, 21.761913299560547, 22.009410858154297, 23.566177368164062, 19.661367416381836, 20.817859649658203, 20.244966506958008, 17.953996658325195, 19.895849227905273, 20.788618087768555, 22.28068733215332]"
small_slim_body_present,10.750513076782227,0.05279630940640345,"[10.980287551879883, 10.52073860168457]"
small_slim_body_absent,11.927080529076713,1.1776564889234276,"[11.723235130310059, 13.70210075378418, 12.120410919189453, 10.46401596069336, 11.292624473571777, 10.119373321533203, 11.945249557495117, 11.763503074645996, 10.217212677001953, 11.951857566833496, 11.841764450073242, 12.907791137695312, 12.604693412780762, 13.427186965942383, 11.626962661743164, 12.207990646362305, 12.117326736450195, 12.511168479919434, 13.175708770751953, 12.210058212280273, 12.361478805541992, 9.920103073120117, 13.793237686157227, 12.257540702819824, 13.217175483703613, 11.974846839904785, 10.128456115722656, 10.375181198120117]"
